,tconst,primaryTitle,startYear,genres,averageRating,budget,ww_gross,budget1mil,ww_gross1mil,numeratorROI,ROI,genre_list,History,Mystery,Western,Fantasy,Drama,Horror,Documentary,Comedy,Thriller,Music,Sport,Biography,Romance,Sci-Fi,Crime,Family,Adventure,Action,Musical,Animation,War,genre_count
731,tt1602613,Only God Forgives,2013,"Action,Crime,Drama",5.7,4800000.0,10635126.0,4.8,10.64,5835126.0,121.56512500000001,Crime,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
731,tt1602613,Only God Forgives,2013,"Action,Crime,Drama",5.7,4800000.0,10635126.0,4.8,10.64,5835126.0,121.56512500000001,Drama,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,3
732,tt1602620,Amour,2012,"Drama,Romance",7.9,8900000.0,29664140.0,8.9,29.66,20764140.0,233.30494382022474,Drama,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
732,tt1602620,Amour,2012,"Drama,Romance",7.9,8900000.0,29664140.0,8.9,29.66,20764140.0,233.30494382022474,Romance,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2
733,tt1604171,Prom,2011,"Comedy,Drama,Family",5.4,8000000.0,10702246.0,8.0,10.7,2702246.0,33.778075,Comedy,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3
733,tt1604171,Prom,2011,"Comedy,Drama,Family",5.4,8000000.0,10702246.0,8.0,10.7,2702246.0,33.778075,Drama,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3
733,tt1604171,Prom,2011,"Comedy,Drama,Family",5.4,8000000.0,10702246.0,8.0,10.7,2702246.0,33.778075,Family,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3
734,tt1604231,The Kiss of Evil,2011,"Crime,Drama,Mystery",6.0,1652000.0,2587512.0,1.65,2.59,935512.0,56.62905569007264,Crime,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
734,tt1604231,The Kiss of Evil,2011,"Crime,Drama,Mystery",6.0,1652000.0,2587512.0,1.65,2.59,935512.0,56.62905569007264,Drama,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
734,tt1604231,The Kiss of Evil,2011,"Crime,Drama,Mystery",6.0,1652000.0,2587512.0,1.65,2.59,935512.0,56.62905569007264,Mystery,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
735,tt1605630,American Reunion,2012,Comedy,6.7,50000000.0,234989584.0,50.0,234.99,184989584.0,369.979168,Comedy,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
736,tt1605769,The Monk,2011,"Drama,Mystery,Thriller",5.8,12980000.0,1809527.0,12.98,1.81,-11170473.0,-86.05911402157165,Drama,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3
736,tt1605769,The Monk,2011,"Drama,Mystery,Thriller",5.8,12980000.0,1809527.0,12.98,1.81,-11170473.0,-86.05911402157165,Mystery,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3
736,tt1605769,The Monk,2011,"Drama,Mystery,Thriller",5.8,12980000.0,1809527.0,12.98,1.81,-11170473.0,-86.05911402157165,Thriller,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3
737,tt1605783,Midnight in Paris,2011,"Comedy,Fantasy,Romance",7.7,17000000.0,153959590.0,17.0,153.96,136959590.0,805.6446470588236,Comedy,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
737,tt1605783,Midnight in Paris,2011,"Comedy,Fantasy,Romance",7.7,17000000.0,153959590.0,17.0,153.96,136959590.0,805.6446470588236,Fantasy,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
737,tt1605783,Midnight in Paris,2011,"Comedy,Fantasy,Romance",7.7,17000000.0,153959590.0,17.0,153.96,136959590.0,805.6446470588236,Romance,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,3
